BBH 019
UT 2022/04/12 COS/NUV G140L
 14115.7 second exposure
16384 points

     Wavelength (A)            Flux (erg/s/cm^2/A)            Flux Err erg/s/cm^2/A()
       1003.6999               0.0000000                      0.0000000
       1003.7658               0.0000000                      0.0000000
       1003.8317               0.0000000                      0.0000000
       1003.8976               0.0000000                      0.0000000
       1003.9634               0.0000000                      0.0000000
       1004.0293               0.0000000                      0.0000000
       1004.0952               0.0000000                      0.0000000
       1004.1611               0.0000000                      0.0000000
       1004.2270               0.0000000                      0.0000000
       1004.2929               0.0000000                      0.0000000
       1004.3588               0.0000000                      0.0000000
       1004.4247               0.0000000                      0.0000000
       1004.4906               0.0000000                      0.0000000
       1004.5565               0.0000000                      0.0000000
       1004.6224               0.0000000                      0.0000000
       1004.6883               0.0000000                      0.0000000
       1004.7542               0.0000000                      0.0000000
       1004.8201               0.0000000                      0.0000000
       1004.8860               0.0000000                      0.0000000
       1004.9519               0.0000000                      0.0000000
       1005.0178               0.0000000                      0.0000000
       1005.0837               0.0000000                      0.0000000
       1005.1495               0.0000000                      0.0000000
       1005.2154               0.0000000                      0.0000000
       1005.2813               0.0000000                      0.0000000
       1005.3472               0.0000000                      0.0000000
       1005.4131               0.0000000                      0.0000000
       1005.4790               0.0000000                      0.0000000
       1005.5449               0.0000000                      0.0000000
       1005.6108               0.0000000                      0.0000000
       1005.6767               0.0000000                      0.0000000
       1005.7426               0.0000000                      0.0000000
       1005.8085               0.0000000                      0.0000000
       1005.8744               0.0000000                      0.0000000
       1005.9403               0.0000000                      0.0000000
       1006.0062               0.0000000                      0.0000000
       1006.0721               0.0000000                      0.0000000
       1006.1380               0.0000000                      0.0000000
       1006.2039               0.0000000                      0.0000000
       1006.2698               0.0000000                      0.0000000
       1006.3357               0.0000000                      0.0000000
       1006.4015               0.0000000                      0.0000000
       1006.4674               0.0000000                      0.0000000
       1006.5333               0.0000000                      0.0000000
       1006.5992               0.0000000                      0.0000000
       1006.6651               0.0000000                      0.0000000
       1006.7310               0.0000000                      0.0000000
       1006.7969               0.0000000                      0.0000000
       1006.8628               0.0000000                      0.0000000
       1006.9287               0.0000000                      0.0000000
       1006.9946               0.0000000                      0.0000000
       1007.0605               0.0000000                      0.0000000
       1007.1264               0.0000000                      0.0000000
       1007.1923               0.0000000                      0.0000000
       1007.2582               0.0000000                      0.0000000
       1007.3241               0.0000000                      0.0000000
       1007.3900               0.0000000                      0.0000000
       1007.4559               0.0000000                      0.0000000
       1007.5218               0.0000000                      0.0000000
       1007.5876               0.0000000                      0.0000000
       1007.6535               0.0000000                      0.0000000
       1007.7194               0.0000000                      0.0000000
       1007.7853               0.0000000                      0.0000000
       1007.8512               0.0000000                      0.0000000
       1007.9171               0.0000000                      0.0000000
       1007.9830               0.0000000                      0.0000000
       1008.0489               0.0000000                      0.0000000
       1008.1148               0.0000000                      0.0000000
       1008.1807               0.0000000                      0.0000000
       1008.2466               0.0000000                      0.0000000
       1008.3125               0.0000000                      0.0000000
       1008.3784               0.0000000                      0.0000000
       1008.4443               0.0000000                      0.0000000
       1008.5102               0.0000000                      0.0000000
       1008.5761               0.0000000                      0.0000000
       1008.6420               0.0000000                      0.0000000
       1008.7079               0.0000000                      0.0000000
       1008.7738               0.0000000                      0.0000000
       1008.8396               0.0000000                      0.0000000
       1008.9055               0.0000000                      0.0000000
       1008.9714               0.0000000                      0.0000000
       1009.0373               0.0000000                      0.0000000
       1009.1032               0.0000000                      0.0000000
       1009.1691               0.0000000                      0.0000000
       1009.2350               0.0000000                      0.0000000
       1009.3009               0.0000000                      0.0000000
       1009.3668               0.0000000                      0.0000000
       1009.4327               0.0000000                      0.0000000
       1009.4986               0.0000000                      0.0000000
       1009.5645               0.0000000                      0.0000000
       1009.6304               0.0000000                      0.0000000
       1009.6963               0.0000000                      0.0000000
       1009.7622               0.0000000                      0.0000000
       1009.8281               0.0000000                      0.0000000
       1009.8940               0.0000000                      0.0000000
       1009.9599               0.0000000                      0.0000000
       1010.0258               0.0000000                      0.0000000
       1010.0916               0.0000000                      0.0000000
       1010.1575               0.0000000                      0.0000000
       1010.2234               0.0000000                      0.0000000
       1010.2893               0.0000000                      0.0000000
       1010.3552               0.0000000                      0.0000000
       1010.4211               0.0000000                      0.0000000
       1010.4870               0.0000000                      0.0000000
       1010.5529               0.0000000                      0.0000000
       1010.6188               0.0000000                      0.0000000
       1010.6847               0.0000000                      0.0000000
       1010.7506               0.0000000                      0.0000000
       1010.8165               0.0000000                      0.0000000
       1010.8824               0.0000000                      0.0000000
       1010.9483               0.0000000                      0.0000000
       1011.0142               0.0000000                      0.0000000
       1011.0801               0.0000000                      0.0000000
       1011.1460               0.0000000                      0.0000000
       1011.2119               0.0000000                      0.0000000
       1011.2777               0.0000000                      0.0000000
       1011.3436               0.0000000                      0.0000000
       1011.4095               0.0000000                      0.0000000
       1011.4754               0.0000000                      0.0000000
       1011.5413               0.0000000                      0.0000000
       1011.6072               0.0000000                      0.0000000
       1011.6731               0.0000000                      0.0000000
       1011.7390               0.0000000                      0.0000000
       1011.8049               0.0000000                      0.0000000
       1011.8708               0.0000000                      0.0000000
       1011.9367               0.0000000                      0.0000000
       1012.0026               0.0000000                      0.0000000
       1012.0685               0.0000000                      0.0000000
       1012.1344               0.0000000                      0.0000000
       1012.2003               0.0000000                      0.0000000
       1012.2662               0.0000000                      0.0000000
       1012.3321               0.0000000                      0.0000000
       1012.3980               0.0000000                      0.0000000
       1012.4639               0.0000000                      0.0000000
       1012.5297               0.0000000                      0.0000000
       1012.5956               0.0000000                      0.0000000
       1012.6615               0.0000000                      0.0000000
       1012.7274               0.0000000                      0.0000000
       1012.7933               0.0000000                      0.0000000
       1012.8592               0.0000000                      0.0000000
       1012.9251               0.0000000                      0.0000000
       1012.9910               0.0000000                      0.0000000
       1013.0569               0.0000000                      0.0000000
       1013.1228               0.0000000                      0.0000000
       1013.1887               0.0000000                      0.0000000
       1013.2546               0.0000000                      0.0000000
       1013.3205               0.0000000                      0.0000000
       1013.3864               0.0000000                      0.0000000
       1013.4523               0.0000000                      0.0000000
       1013.5182               0.0000000                      0.0000000
       1013.5841               0.0000000                      0.0000000
       1013.6500               0.0000000                      0.0000000
       1013.7158               0.0000000                      0.0000000
       1013.7817               0.0000000                      0.0000000
       1013.8476               0.0000000                      0.0000000
       1013.9135               0.0000000                      0.0000000
       1013.9794               0.0000000                      0.0000000
       1014.0453               0.0000000                      0.0000000
       1014.1112               0.0000000                      0.0000000
       1014.1771               0.0000000                      0.0000000
       1014.2430               0.0000000                      0.0000000
       1014.3089               0.0000000                      0.0000000
       1014.3748               0.0000000                      0.0000000
       1014.4407               0.0000000                      0.0000000
       1014.5066               0.0000000                      0.0000000
       1014.5725               0.0000000                      0.0000000
       1014.6384               0.0000000                      0.0000000
       1014.7043               0.0000000                      0.0000000
       1014.7702               0.0000000                      0.0000000
       1014.8361               0.0000000                      0.0000000
       1014.9020               0.0000000                      0.0000000
       1014.9678               0.0000000                      0.0000000
       1015.0337               0.0000000                      0.0000000
       1015.0996               0.0000000                      0.0000000
       1015.1655               0.0000000                      0.0000000
       1015.2314               0.0000000                      0.0000000
       1015.2973               0.0000000                      0.0000000
       1015.3632               0.0000000                      0.0000000
       1015.4291               0.0000000                      0.0000000
       1015.4950               0.0000000                      0.0000000
       1015.5609               0.0000000                      0.0000000
       1015.6268               0.0000000                      0.0000000
       1015.6927               0.0000000                      0.0000000
       1015.7586               0.0000000                      0.0000000
       1015.8245               0.0000000                      0.0000000
       1015.8904               0.0000000                      0.0000000
       1015.9563               0.0000000                      0.0000000
       1016.0222               0.0000000                      0.0000000
       1016.0881               0.0000000                      0.0000000
       1016.1540               0.0000000                      0.0000000
       1016.2198               0.0000000                      0.0000000
       1016.2857               0.0000000                      0.0000000
       1016.3516               0.0000000                      0.0000000
       1016.4175               0.0000000                      0.0000000
       1016.4834               0.0000000                      0.0000000
       1016.5493               0.0000000                      0.0000000
       1016.6152               0.0000000                      0.0000000
