BBH 019
UT 2022/04/12 COS/FUV G140L
 14115.7 second exposure
16384 points

     Wavelength (A)            Flux (erg/s/cm^2/A)            Flux Err erg/s/cm^2/A()
      -3.6241469               0.0000000                      0.0000000
      -3.5591548               0.0000000                      0.0000000
      -3.4941627               0.0000000                      0.0000000
      -3.4291706               0.0000000                      0.0000000
      -3.3641786               0.0000000                      0.0000000
      -3.2991865               0.0000000                      0.0000000
      -3.2341944               0.0000000                      0.0000000
      -3.1692023               0.0000000                      0.0000000
      -3.1042102               0.0000000                      0.0000000
      -3.0392182               0.0000000                      0.0000000
      -2.9742261               0.0000000                      0.0000000
      -2.9092340               0.0000000                      0.0000000
      -2.8442419               0.0000000                      0.0000000
      -2.7792498               0.0000000                      0.0000000
      -2.7142578               0.0000000                      0.0000000
      -2.6492657               0.0000000                      0.0000000
      -2.5842736               0.0000000                      0.0000000
      -2.5192815               0.0000000                      0.0000000
      -2.4542894               0.0000000                      0.0000000
      -2.3892974               0.0000000                      0.0000000
      -2.3243053               0.0000000                      0.0000000
      -2.2593132               0.0000000                      0.0000000
      -2.1943211               0.0000000                      0.0000000
      -2.1293290               0.0000000                      0.0000000
      -2.0643370               0.0000000                      0.0000000
      -1.9993449               0.0000000                      0.0000000
      -1.9343528               0.0000000                      0.0000000
      -1.8693607               0.0000000                      0.0000000
      -1.8043686               0.0000000                      0.0000000
      -1.7393766               0.0000000                      0.0000000
      -1.6743845               0.0000000                      0.0000000
      -1.6093924               0.0000000                      0.0000000
      -1.5444003               0.0000000                      0.0000000
      -1.4794082               0.0000000                      0.0000000
      -1.4144162               0.0000000                      0.0000000
      -1.3494241               0.0000000                      0.0000000
      -1.2844320               0.0000000                      0.0000000
      -1.2194399               0.0000000                      0.0000000
      -1.1544478               0.0000000                      0.0000000
      -1.0894558               0.0000000                      0.0000000
      -1.0244637               0.0000000                      0.0000000
     -0.95947160               0.0000000                      0.0000000
     -0.89447952               0.0000000                      0.0000000
     -0.82948744               0.0000000                      0.0000000
     -0.76449536               0.0000000                      0.0000000
     -0.69950328               0.0000000                      0.0000000
     -0.63451120               0.0000000                      0.0000000
     -0.56951912               0.0000000                      0.0000000
     -0.50452704               0.0000000                      0.0000000
     -0.43953496               0.0000000                      0.0000000
     -0.37454288               0.0000000                      0.0000000
     -0.30955080               0.0000000                      0.0000000
     -0.24455872               0.0000000                      0.0000000
     -0.17956664               0.0000000                      0.0000000
     -0.11457456               0.0000000                      0.0000000
    -0.049582482               0.0000000                      0.0000000
     0.015409598               0.0000000                      0.0000000
     0.080401678               0.0000000                      0.0000000
      0.14539376               0.0000000                      0.0000000
      0.21038584               0.0000000                      0.0000000
      0.27537792               0.0000000                      0.0000000
      0.34037000               0.0000000                      0.0000000
      0.40536208               0.0000000                      0.0000000
      0.47035416               0.0000000                      0.0000000
      0.53534624               0.0000000                      0.0000000
      0.60033832               0.0000000                      0.0000000
      0.66533040               0.0000000                      0.0000000
      0.73032248               0.0000000                      0.0000000
      0.79531456               0.0000000                      0.0000000
      0.86030664               0.0000000                      0.0000000
      0.92529872               0.0000000                      0.0000000
      0.99029080               0.0000000                      0.0000000
       1.0552829               0.0000000                      0.0000000
       1.1202750               0.0000000                      0.0000000
       1.1852670               0.0000000                      0.0000000
       1.2502591               0.0000000                      0.0000000
       1.3152512               0.0000000                      0.0000000
       1.3802433               0.0000000                      0.0000000
       1.4452354               0.0000000                      0.0000000
       1.5102274               0.0000000                      0.0000000
       1.5752195               0.0000000                      0.0000000
       1.6402116               0.0000000                      0.0000000
       1.7052037               0.0000000                      0.0000000
       1.7701958               0.0000000                      0.0000000
       1.8351878               0.0000000                      0.0000000
       1.9001799               0.0000000                      0.0000000
       1.9651720               0.0000000                      0.0000000
       2.0301641               0.0000000                      0.0000000
       2.0951562               0.0000000                      0.0000000
       2.1601482               0.0000000                      0.0000000
       2.2251403               0.0000000                      0.0000000
       2.2901324               0.0000000                      0.0000000
       2.3551245               0.0000000                      0.0000000
       2.4201166               0.0000000                      0.0000000
       2.4851086               0.0000000                      0.0000000
       2.5501007               0.0000000                      0.0000000
       2.6150928               0.0000000                      0.0000000
       2.6800849               0.0000000                      0.0000000
       2.7450770               0.0000000                      0.0000000
       2.8100690               0.0000000                      0.0000000
       2.8750611               0.0000000                      0.0000000
       2.9400532               0.0000000                      0.0000000
       3.0050453               0.0000000                      0.0000000
       3.0700374               0.0000000                      0.0000000
       3.1350294               0.0000000                      0.0000000
       3.2000215               0.0000000                      0.0000000
       3.2650136               0.0000000                      0.0000000
       3.3300057               0.0000000                      0.0000000
       3.3949978               0.0000000                      0.0000000
       3.4599898               0.0000000                      0.0000000
       3.5249819               0.0000000                      0.0000000
       3.5899740               0.0000000                      0.0000000
       3.6549661               0.0000000                      0.0000000
       3.7199582               0.0000000                      0.0000000
       3.7849502               0.0000000                      0.0000000
       3.8499423               0.0000000                      0.0000000
       3.9149344               0.0000000                      0.0000000
       3.9799265               0.0000000                      0.0000000
       4.0449186               0.0000000                      0.0000000
       4.1099106               0.0000000                      0.0000000
       4.1749027               0.0000000                      0.0000000
       4.2398948               0.0000000                      0.0000000
       4.3048869               0.0000000                      0.0000000
       4.3698790               0.0000000                      0.0000000
       4.4348710               0.0000000                      0.0000000
       4.4998631               0.0000000                      0.0000000
       4.5648552               0.0000000                      0.0000000
       4.6298473               0.0000000                      0.0000000
       4.6948394               0.0000000                      0.0000000
       4.7598314               0.0000000                      0.0000000
       4.8248235               0.0000000                      0.0000000
       4.8898156               0.0000000                      0.0000000
       4.9548077               0.0000000                      0.0000000
       5.0197998               0.0000000                      0.0000000
       5.0847918               0.0000000                      0.0000000
       5.1497839               0.0000000                      0.0000000
       5.2147760               0.0000000                      0.0000000
       5.2797681               0.0000000                      0.0000000
       5.3447602               0.0000000                      0.0000000
       5.4097522               0.0000000                      0.0000000
       5.4747443               0.0000000                      0.0000000
       5.5397364               0.0000000                      0.0000000
       5.6047285               0.0000000                      0.0000000
       5.6697206               0.0000000                      0.0000000
       5.7347126               0.0000000                      0.0000000
       5.7997047               0.0000000                      0.0000000
       5.8646968               0.0000000                      0.0000000
       5.9296889               0.0000000                      0.0000000
       5.9946810               0.0000000                      0.0000000
       6.0596730               0.0000000                      0.0000000
       6.1246651               0.0000000                      0.0000000
       6.1896572               0.0000000                      0.0000000
       6.2546493               0.0000000                      0.0000000
       6.3196414               0.0000000                      0.0000000
       6.3846334               0.0000000                      0.0000000
       6.4496255               0.0000000                      0.0000000
       6.5146176               0.0000000                      0.0000000
       6.5796097               0.0000000                      0.0000000
       6.6446018               0.0000000                      0.0000000
       6.7095938               0.0000000                      0.0000000
       6.7745859               0.0000000                      0.0000000
       6.8395780               0.0000000                      0.0000000
       6.9045701               0.0000000                      0.0000000
       6.9695622               0.0000000                      0.0000000
       7.0345542               0.0000000                      0.0000000
       7.0995463               0.0000000                      0.0000000
       7.1645384               0.0000000                      0.0000000
       7.2295305               0.0000000                      0.0000000
       7.2945226               0.0000000                      0.0000000
       7.3595146               0.0000000                      0.0000000
       7.4245067               0.0000000                      0.0000000
       7.4894988               0.0000000                      0.0000000
       7.5544909               0.0000000                      0.0000000
       7.6194830               0.0000000                      0.0000000
       7.6844750               0.0000000                      0.0000000
       7.7494671               0.0000000                      0.0000000
       7.8144592               0.0000000                      0.0000000
       7.8794513               0.0000000                      0.0000000
       7.9444434               0.0000000                      0.0000000
       8.0094354               0.0000000                      0.0000000
       8.0744275               0.0000000                      0.0000000
       8.1394196               0.0000000                      0.0000000
       8.2044117               0.0000000                      0.0000000
       8.2694038               0.0000000                      0.0000000
       8.3343958               0.0000000                      0.0000000
       8.3993879               0.0000000                      0.0000000
       8.4643800               0.0000000                      0.0000000
       8.5293721               0.0000000                      0.0000000
       8.5943642               0.0000000                      0.0000000
       8.6593562               0.0000000                      0.0000000
       8.7243483               0.0000000                      0.0000000
       8.7893404               0.0000000                      0.0000000
       8.8543325               0.0000000                      0.0000000
       8.9193246               0.0000000                      0.0000000
       8.9843166               0.0000000                      0.0000000
       9.0493087               0.0000000                      0.0000000
